Common Name,Scientific Name,Type,Host For
Agave,Agave sp.,Cacti and Succulents,"Arizona giant skipper, Yucca moth, Tortrix moth"
Arizona beggarticks,Bidens aurea,Perennials,"Arizona metalmark, Dainty Sulphur, Sunflower moth, Dart moth"
Arizona foldwing,Dicliptera resupinata,Perennials,Texas crescent
Arizona milkweed,Asclepias angustifolia,Perennials,Queens and monarchs
Arizona rosemallow,Hibiscus biseptus,Shrubs,"Yellow scallop moth, Geometrid moth"
Arizona rosewood,Vauquelinia californica,Shrubs,Two tailed swallowtail
Arizona wrightwort,Carlowrightia arizonica,Subshrubs,Texas crescent
Ash,Fraxinus velutina,Trees,"Two tailed swallowtail, Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth"
Desert broom,Baccharis sarothroides,Shrubs,"Flower moth, Owlet moth, Geometrid moth, Desert Broom gall moth"
Barometer bushes/Texas rangers,Leucophyllums,Shrubs,"Theona checkerspot, Calleta silkmoth"
Beargrass,Nolina sp.,Cacti and Succulents,Yucca moth
beebrush,Aloysia wrightii,Shrubs,Rustic sphinx moth
bladderpod,Heressantia crispa,Shrubs,"Arizona powdered skipper, Texas powdered skipper, Erichson’s white skipper, Northern white skipper"
blanketflower,Gaillardia sp.,Perennials,Bordered patch
cane bluestem,Bothriochloa barbinodis,Grass,Slaty roadside skipper
canyon hackberry,,Shrubs,"Empress leila, Hackberry emperor, Tawny emperor, American snout, Question Mark, Mourning cloak Io Silkmoth, Small prominent moth, Cleft headed looper moth; BRDNST"
carrot,Daucus carota,Annuals,Black swallowtail
catclaw acacia,Senegalia greggii,Trees,"Mexican yellow, Mimosa yellow, Reakirt’s blue, Marine blue, several species of moth"
chuparosa,Justicia sp.,Shrubs,"Tiny checkerspot, Texas crescent, Pearl crescent"
citrus,Citrus sp.,Trees,Giant swallowtail
Colorado four o’clock,Mirabilis multiflora,Shrubs,White lined sphinx moth
common sunflower,Helianthus annuus,Annuals,"California Patch, Bordered Patch, and Painted Lady"
Cooley bundleflower,Desmanthus cooleyi,Annuals,"Ceraunus blue, Reakirt’s blue"
cowpen daisy,Verbesina encelioides,Annuals,Bordered patch
creosote,Larrea tridentata,Shrubs,"Geometrid moth, Bagworm moth"
dalea,Dalea sp.,Shrubs,"Reakirt’s blue, Southern dogface, Gray hairstreak"
deer grass,MuhleSPCVALergia sp.,Grass,Several species of skippers
desert bahia,Bahia absinthifolia,Perennials,Owlet moth
desert broom,Baccharis sarothroides,Shrubs,"Flower moth, Owlet moth, Geometrid moth, Desert Broom gall moth"
desert ceanothus,Ceanothus greggii,Shrubs,"Nais metalmark, Arizona hairstreak, Southwestern azure, Pacuvius duskywing, California tortoiseshell, geometrid moths, Owlet moth, Cecrops eyed silkmoth, Prominent moth, geometrid moths, Owlet moth"
desert cotton,Gossypium thurberi,Shrubs,"Painted lady, Gray hairstreak, Splendid royal silkmoth, Owlet stem borer moth, Yellow scallop moth"
desert hackberry,Celtis pallida,Shrubs,"American snout, Empress leila, Hackberry emperor, Tawny emperor, Small prominent moth, Randa’s eyed silk moth. BRDNST"
desert honeysuckle,Anisacanthus thurberi,Shrubs,"Elada checkerspot, Arizona checkerspot"
desert lavender,Condea emoryi,Shrubs,"Reakirt’s blue butterfly, gray hairstreak"
desert marigold,Baileya multiradiata,Perennials,Dainty Sulphur
desert rosemallow,Hibiscus coulteri,Shrubs,"Yellow scallop moth, Geometrid moth"
desert senna,Senna covesii,Shrubs,"Sleepy orange, cloudless sulphur"
desert willow,Chilopsis linearis,Trees,"Rustic sphinx moth, Geometrid moths"
devil’s claw,Proboscidea parviflora,Annuals,hawk moths
dill,Anethum graveolens,Annuals,Black swallowtail
Eastern Mohave buckwheat,Eriogonum fasiculata polifolium,Shrubs,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, silkmoth, Clearwing moth"
evening primroses,Oenothera sp.,Perennials,"White lined sphinx moth, Flower moth"
Fall false tansy aster,Dieteria asteroides,Perennials,"Hooded owlet moths, Flower moths"
false indigo,Amorpha fruticosa,Trees,"Silver spotted skipper, Southern dogface, Gray hairstreak, Marine blue, Tortrix leaf roller moth, Pyralid moth"
fennel,Ferula vulgare,Annuals,Black swallowtail
flattop buckwheat,Eriogonum deflexum,Annuals,Mormon metalmark
four wing saltbush,Atriplex canescens,Shrubs,"Western pygmy blue, Mohave sooty wing, Saltbush sooty wing, geometric moth"
desert globemallow,Sphaeralcea ambigua,Shrubs,"Gray hairstreak, Northern white skipper, Laviana white skipper, Common streaky skipper, Small checkered skipper, Common checkered skipper, West Coast lady, Painted lady, several species of moth"
desert hackberry,Celtis pallida,Shrubs,"American snout, Empress Leilia, Mourning Cloak, Hackberry Emperor, American Snout, Randa’s Eyed Silkmoth, Tawny Emperor"
graythorn,Ziziphus obtusifolia,Shrubs,"Pyrrha’s prominent moth, BRDNST"
Gregg’s mistflower,Conoclinium greggii,Perennials,Rawson’s metalmark butterfly
Hartweg’s twinevine,Funastrum cynanchoides ssp. heterophyllum,Vines,Queens and Monarchs
heart leaved hibiscus,Hibiscus cardiophyllus,Shrubs,"Mallow scrub hairstreak, Gray hairstreak, Yellow scallop moth, Geometrid moth"
hollyhocks,Alcea rosea,Annuals,Painted lady
lupines,Lupines sp.,Annuals,Several species of blue and hairstreak butterflies
mesquites,Prosopis sp,Trees,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak"
Mexican elderberry,Sambucus mexicana,Trees,"Owlet moth, Melipotin moth"
Mexican sunflower,Tithonia fruticosa,Annuals,"Painted lady, bordered patch"
Mojave milkweed,Asclepias nyctaginifolia,Perennials,Queens and monarchs
native desert willow,Chilopsis linearis arcuata,Trees,"Rustic sphinx moth, Geometrid moths"
New Mexico thistle,Cirsium neomexicanum,Perennials,"Nais metalmark, Arizona hairstreak, Southwestern azure, Pacuvius duskywing, California tortoiseshell"
ocotillo,Fouquieria splendens,Cacti and Succulents,"Calleta silkmoth, Geometrid moth, Slug caterpillar moth"
odora,Porophyllum gracile,Shrubs,"Dainty Sulphur, owlette moth"
old man’s beard,Clematis drummondii,Vines,Fatal metalmark
paleface hibiscus,Hibiscus denudatus,Shrubs,"Yellow scallop moth, Geometrid moth"
paralenna,Thymophylla pentachaeta,Perennials,Dainty sulphur
parsley,Petroselinum crispum,Annuals,Black swallowtail
passion vine,Passiflora sp.,Vines,"Gulf fritillary, Variegated fritillary"
pelotazo,Abutilon incanum,Shrubs,See A. abutiloides above
perennial mustard,Boechera perennans,Perennials,"Spring white, Cabbage white, Desert marble, Pearly marble, Sara orange tip, Checkered white"
pineleaf milkweed,Asclepias linearis,Shrubs,Queens and monarchs
pink fairy duster,Calliandra eriophylla,Shrubs,"Ceraunus blue, Marine blue, Melipotis moths"
purple threeawn,Aristida purpurea,Grass,Several species of skipper and satyrs butterflies
rue of the mountains,Thamnosma texana,Shrubs,Black swallowtail
rush (desert) milkweed,Asclepias subulata,Perennials,"Queen, monarch, Milkweed tussock tiger moth"
sacred datura,Datura wrightii,Shrubs,"Pink spotted hawkmoth, Rustic sphinx moth, Five spotted hawkmoth"
San felipe dogweed,Adenophyllum porophylloides,Shrubs,Dainty sulphur
seep willow,Baccharis salicifolia,Shrubs,"Fatal metalmark, Elada checkerspot, tiger moth"
shrubby deervetch,Lotus rigidus,Shrubs,"Acmon blue, Funereal duskywing"
shrubby Indian mallow,Abutilon abutiloides,Shrubs,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, Bird dropping moth, Owlet moth, Crambid seed moth"
side oats gramma,Bouteloua curtipendula,Grass,"Several species of skippers , Hualapai buckmoth, Viened Ctenucha moth"
slender janusia,Janusia gracilis,Vines,"Funereal duskywing, White patched skipper, Brown banded skipper"
snapdragon vine,Maurandella antirrhiniflora,Vines,Common buckeye
Sonoran kidneywood,Eysenhardtia orthocarpa,Trees,"Arizona hairstreak, Marine blue, Ceraunus blue, Gray hairstreak"
southwestern pipevine,Aristolochia watsonii,Vines,Pipevine swallowtail
spreading fleabane,Erigeron divergens,Shrubs,"Hooded owlet moth, Flower moth"
stinging nettles,Urtica dioica,Perennials,Red admiral
Superstition mallow,Abutilon palmeri,Shrubs,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, several species of moth"
sweetbush,Bebbia juncea,Shrubs,"Tiger moth, Tortrix moth"
tahoka daisy,Machaeranthera tanacetifolia,Annuals,"Sagebrush checkerspot, Bordered patch, Pearl crescent, Hooded owlet moths"
tansy aster,Dieteria sp,Perennials,Moth larval host plant
turpentine bush,Ericameria laricifolia,Shrubs,Hooded owlet moths
velvet mesquite,Prosopis velutina,Trees,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak, Hubbard’s small silkmoth, Tricolor buckmoth, Juno buckmoth, Owlet moths, Geometrid moth, Bagworm moths, Mesquite clearwing moth"
verbenas,Verbena sp.,Perennials,"Fine-lined sallow moth, Verbena moth"
white sagebrush,Artemisia ludoviciana,Perennials,Painted ladies
white stemmed milkweed,Asclepias albicans,Shrubs,Queens and monarchs
wild carrot,Daucus pusillus,Annuals,Black swallowtail
wild petunia,Ruellia nudiflora,Shrubs,"Common buckeye, Tropical buckeye"
wolfberry,Lycium sp.,Shrubs,"Mexican agapema silkmoth, Sphinx moth, Prominent moth, Crambid moth"
Wright’s buckwheat,Eriogonum wrightii,Shrubs,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, Clearwing moth, Geometrid moths, Cambrid leaf roller moth"
yuccas,Yucca sp.,Cacti and Succulents,"Yucca giant skipper, Ursine giant skipper, Yucca moths"
