Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Source,Pollinator,Host Plant Weight,Host For
Trees,catclaw acacia,Senegalia greggii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,True,TRUE,,TRUE,,,MCPP,True,3,"Mexican yellow, Mimosa yellow, Reakirt’s blue, Marine blue, several species of moth"
Trees,desert willow,Chilopsis linearis,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,TRUE,True,TRUE,,TRUE,,,MCPP,True,3,"Rustic sphinx moth, Geometrid moths"
Trees,false indigo tree,Amorpha fruticosa,,,,TRUE,TRUE,TRUE,,,,,,,N,NC,"found in riparian areas greater than 2,000 feet",,True,,,TRUE,TRUE,,MCPP,True,2,"Silver spotted skipper, Southern dogface, Gray hairstreak, Marine blue, Tortrix leaf roller moth, Pyralid moth"
Trees,honey mesquite,Prosopis glandulosa,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,TRUE,,,TRUE,TRUE,,MCPP,True,,
Trees,ironwood,Olynea tesota,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,,,TRUE,,TRUE,,,MCPP,True,,
Trees,palo verde,Parkinsonia sp.,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,,TRUE,,TRUE,,,MCPP,True,,
Trees,screwbean mesquite,Prosopis pubescens,,,,,TRUE,TRUE,,,,,,,N,NC,,,,TRUE,,TRUE,TRUE,,MCPP,True,,
Trees,Sonoran kidneywood,Eysenhardtia orthocarpa,,,,,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,NC,,,True,,,TRUE,,,MCPP,True,3,"Arizona hairstreak, Marine blue, Ceraunus blue, Gray hairstreak"
Trees,velvet mesquite,Prosopis velutina ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,True,TRUE,,TRUE,TRUE,,MCPP,True,1,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak, Hubbard’s small silkmoth, Tricolor buckmoth, Juno buckmoth, Owlet moths, Geometrid moth, Bagworm moths, Mesquite clearwing moth"
Trees,whitethorn acacia,Vachellia constricta,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,C,,,,,,TRUE,,,MCPP,True,,
Shrubs,desert broom,Baccharis sarothroides,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,Much maligned but this native shrub is a major pollinator and wildlife plant. Buy a male plant if you want pollinators but not seedlings,,True,,,,TRUE,,MCPP,True,2,"Flower moth, Owlet moth, Geometrid moth, Desert Broom gall moth"
Shrubs,American threefold,Trixis californica,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,NC,Year round blooms with rainfall or supplemental water,,,TRUE,,,,,MCPP,True,,
Shrubs,Arizona rosemallow,Hibiscus biseptus,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,,,,TRUE,MCPP,True,3,"Yellow scallop moth, Geometrid moth"
Shrubs,Baja fairy duster,Calliandra californica,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,,BIOREG,C,Year round blooms with rainfall or supplemental water,TRUE,,,,,,,MCPP,True,,
Shrubs,beebrush,Aloysia grattismus.,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,NC,,,True,,,,,,MCPP,True,1,Rustic sphinx moth
Shrubs,brittlebush,Encelia farinosa,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,,TRUE,,,,TRUE,MCPP,True,,
Shrubs,brownplume wirelettuce,Stephanomeria pauciflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,,TRUE,,,TRUE,,MCPP,True,,
Shrubs,bush dalea,Dalea pulchra,,TRUE,TRUE,TRUE,,,,,,,,,N,NC,,,TRUE,,,,TRUE,,MCPP,True,,
Shrubs,California brickellbush,Brickellia californica,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,NC,,,,,,,,,MCPP,True,,
Shrubs,chuparosa,Justicia californica,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,TRUE,True,,,,,,MCPP,True,1,"Tiny checkerspot, Texas crescent, Pearl crescent"
Shrubs,Cleveland sage,Salvia clevelandii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,C,,,,,,,TRUE,,MCPP,True,,
Shrubs,Coulter’s brickelbush,Brickellia coulteri,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,N,NC,,,,,,,,,MCPP,True,,
Shrubs,creosote,Larrea tridentata,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,True,TRUE,,,TRUE,,MCPP,True,3,"Geometrid moth, Bagworm moth"
Shrubs,desert ceanothus,Ceanothus greggii,,,TRUE,TRUE,TRUE,,,,,,,,BIOREG,NC,,,True,,,,TRUE,,MCPP,True,3,"Nais metalmark, Arizona hairstreak, Southwestern azure, Pacuvius duskywing, California tortoiseshell, geometrid moths, Owlet moth, Cecrops eyed silkmoth, Prominent moth, geometrid moths, Owlet moth"
Shrubs,desert globemallow,Sphaeralcea ambigua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,,True,TRUE,,,TRUE,,MCPP,True,3,"Gray hairstreak, Northern white skipper, Laviana white skipper, Common streaky skipper, Small checkered skipper, Common checkered skipper, West Coast lady, Painted lady, several species of moth"
Shrubs,desert hackberry,Celtis pallida,,,TRUE,TRUE,TRUE,,,,,,,,N/A,N/A,,,True,,,TRUE,,,MCPP,True,3,"American snout, Empress leila, Hackberry emperor, Tawny emperor, Small prominent moth, Randa’s eyed silk moth. BRDNST"
Shrubs,desert honeysuckle,Anisacanthus thurberi,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,TRUE,True,TRUE,,,,TRUE,MCPP,True,3,"Elada checkerspot, Arizona checkerspot"
Shrubs,desert lavender,Hyptis emoryi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,,True,,,,TRUE,,MCPP,True,1,"Reakirt’s blue butterfly, gray hairstreak"
Shrubs,desert rosemallow,Hibiscus coulteri,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,,,,TRUE,MCPP,True,3,"Yellow scallop moth, Geometrid moth"
Shrubs,desert senna,Senna covesii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,True,TRUE,,,,,MCPP,True,3,"Sleepy orange, cloudless sulphur"
Shrubs,Eastern Mojave buckwheat,Erigonium fasiculatum poliofolium,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,NC,,,TRUE,TRUE,,,TRUE,,MCPP,True,,
Shrubs,feather dalea,Dalea formosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,C,,,TRUE,,,,TRUE,,MCPP,True,,
