Common Name,Scientific Name,Type,Host For
Agave,Agave sp.,Succulent,"Arizona giant skipper, Yucca moth, Tortrix moth"
Arizona beggarticks,Bidens aurea,Perennial,"Arizona metalmark, Dainty Sulphur, Sunflower moth, Dart moth"
Arizona foldwing,Dicliptera resupinata,Perennial,Texas crescent
Arizona milkweed,Asclepias angustifolia,Perennial,Queens and monarchs
Arizona rosemallow,Hibiscus biseptus,Shrub,"Yellow scallop moth, Geometrid moth"
Arizona rosewood,Vauquelinia californica,Shrub,Two tailed swallowtail
Arizona wrightwort,Carlowrightia arizonica,Subshrub,Texas crescent
Ash,Fraxinus velutina,Tree,"Two tailed swallowtail, Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth"
Desert broom,Baccharis sarothroides,shrub,"Flower moth, Owlet moth, Geometrid moth, Desert Broom gall moth"
Barometer bushes/Texas rangers,Leucophyllums,Shrubs,"Theona checkerspot, Calleta silkmoth"
Beargrass,Nolina sp.,Succulent,Yucca moth
beebrush,Aloysia wrightii,Shrub,Rustic sphinx moth
bladderpod,Heressantia crispa,Shrub,"Arizona powdered skipper, Texas powdered skipper, Erichson’s white skipper, Northern white skipper"
blanketflower,Gaillardia sp.,Perennial,Bordered patch
cane bluestem,Bothriochloa barbinodis,Grass,Slaty roadside skipper
canyon hackberry,,,"Empress leila, Hackberry emperor, Tawny emperor, American snout, Question Mark, Mourning cloak Io Silkmoth, Small prominent moth, Cleft headed looper moth; BRDNST"
carrot,Daucus carota,Annual,Black swallowtail
catclaw acacia,Senegalia greggii,Tree,"Mexican yellow, Mimosa yellow, Reakirt’s blue, Marine blue, several species of moth"
chuparosa,Justicia sp.,Shrub,"Tiny checkerspot, Texas crescent, Pearl crescent"
citrus,Citrus sp.,Tree,Giant swallowtail
Colorado four o’clock,Mirabilis multiflora,Shrub,White lined sphinx moth
common sunflower,Helianthus annuus,Annual,"California Patch, Bordered Patch, and Painted Lady"
Cooley bundleflower,Desmanthus cooleyi,Annual,"Ceraunus blue, Reakirt’s blue"
cowpen daisy,Verbesina encelioides,Annual,Bordered patch
creosote,Larrea tridentata,Shrub,"Geometrid moth, Bagworm moth"
dalea,Dalea sp.,Shrub,"Reakirt’s blue, Southern dogface, Gray hairstreak"
deer grass,MuhleSPCVALergia sp.,Grass,Several species of skippers
desert bahia,Bahia absinthifolia,Perennial,Owlet moth
desert broom,Baccharis sarothroides,Shrub,"Flower moth, Owlet moth, Geometrid moth, Desert Broom gall moth"
desert ceanothus,Ceanothus greggii,Shrub,"Nais metalmark, Arizona hairstreak, Southwestern azure, Pacuvius duskywing, California tortoiseshell, geometrid moths, Owlet moth, Cecrops eyed silkmoth, Prominent moth, geometrid moths, Owlet moth"
desert cotton,Gossypium thurberi,Shrub,"Painted lady, Gray hairstreak, Splendid royal silkmoth, Owlet stem borer moth, Yellow scallop moth"
desert hackberry,Celtis pallida,Shrub,"American snout, Empress leila, Hackberry emperor, Tawny emperor, Small prominent moth, Randa’s eyed silk moth. BRDNST"
desert honeysuckle,Anisacanthus thurberi,Shrub,"Elada checkerspot, Arizona checkerspot"
desert lavender,Condea emoryi,Shrub,"Reakirt’s blue butterfly, gray hairstreak"
desert marigold,Baileya multiradiata,Perennial,Dainty Sulphur
desert rosemallow,Hibiscus coulteri,Shrub,"Yellow scallop moth, Geometrid moth"
desert senna,Senna covesii,Shrub,"Sleepy orange, cloudless sulphur"
desert willow,Chilopsis linearis,Tree,"Rustic sphinx moth, Geometrid moths"
devil’s claw,Proboscidea parviflora,Annual,hawk moths
dill,Anethum graveolens,Annual,Black swallowtail
Eastern Mohave buckwheat,Eriogonum fasiculata polifolium,Shrub,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, silkmoth, Clearwing moth"
evening primroses,Oenothera sp.,Perennial,"White lined sphinx moth, Flower moth"
Fall false tansy aster,Dieteria asteroides,Perennial,"Hooded owlet moths, Flower moths"
false indigo,Amorpha fruticosa,Tree,"Silver spotted skipper, Southern dogface, Gray hairstreak, Marine blue, Tortrix leaf roller moth, Pyralid moth"
fennel,Ferula vulgare,Annual,Black swallowtail
flattop buckwheat,Eriogonum deflexum,Annual,Mormon metalmark
four wing saltbush,Atriplex canescens,Shrub,"Western pygmy blue, Mohave sooty wing, Saltbush sooty wing, geometric moth"
desert globemallow,Sphaeralcea ambigua,,"Gray hairstreak, Northern white skipper, Laviana white skipper, Common streaky skipper, Small checkered skipper, Common checkered skipper, West Coast lady, Painted lady, several species of moth"
desert hackberry,Celtis pallida,shrub,"American snout, Empress Leilia, Mourning Cloak, Hackberry Emperor, American Snout, Randa’s Eyed Silkmoth, Tawny Emperor"
graythorn,Ziziphus obtusifolia,Shrub,"Pyrrha’s prominent moth, BRDNST"
Gregg’s mistflower,Conoclinium greggii,Perennial,Rawson’s metalmark butterfly
Hartweg’s twinevine,Funastrum cynanchoides ssp. heterophyllum,Vine,Queens and Monarchs
heart leaved hibiscus,Hibiscus cardiophyllus,Shrub,"Mallow scrub hairstreak, Gray hairstreak, Yellow scallop moth, Geometrid moth"
hollyhocks,Alcea rosea,Annual,Painted lady
lupines,Lupines sp.,Annual,Several species of blue and hairstreak butterflies
mesquites,Prosopis sp,Tree,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak"
Mexican elderberry,Sambucus mexicana,Tree,"Owlet moth, Melipotin moth"
