Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Host Plant Weight
Trees,catclaw acacia,Senegalia greggii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,False,TRUE,,TRUE,,,
Trees,desert willow,Chilopsis linearis,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,TRUE,False,TRUE,,TRUE,,,
Trees,false indigo tree,Amorpha fruticosa,,,,TRUE,TRUE,TRUE,,,,,,,N,NC,"BRNDNST, found in riparian areas greater than 2,000 feet",,False,,,,TRUE,,
Trees,honey mesquite,Prosopis glandulosa,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,False,,,TRUE,TRUE,,
Trees,ironwood,Olynea tesota,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,,False,TRUE,,TRUE,,,
Trees,palo verde,Parkinsonia sp.,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,False,TRUE,,TRUE,,,
Trees,screwbean mesquite,Prosopis pubescens,,,,,TRUE,TRUE,,,,,,,N,NC,,,False,TRUE,,TRUE,TRUE,,
Trees,Sonoran kidneywood,Eysenhardtia orthocarpa,,,,,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,NC,,,False,,,TRUE,,,
Trees,velvet mesquite,Prosopis velutina ,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,False,TRUE,,TRUE,TRUE,,
Trees,whitethorn acacia,Vachellia constricta,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,C,,,False,,,TRUE,,,
Shrubs,desert broom,Baccharis sarothroides,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,Much maligned but this native shrub is a major pollinator and wildlife plant. Buy a male plant if you want pollinators but not seedlings,,False,,,,TRUE,,
Shrubs,American threefold,Trixis californica,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,NC,Year round blooms with rainfall or supplemental water,,False,TRUE,,,,,
Shrubs,Arizona rosemallow,Hibiscus biseptus,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,False,TRUE,,,,TRUE,
Shrubs,Baja fairy duster,Calliandra californica,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,,BIOREG,C,Year round blooms with rainfall or supplemental water,TRUE,False,,,,,,
Shrubs,beebrush,Aloysia grattismus.,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,NC,,,False,,,,,,
Shrubs,brittlebush,Encelia farinosa,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,False,TRUE,,,,TRUE,
Shrubs,brownplume wirelettuce,Stephanomeria pauciflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,False,TRUE,,,TRUE,,
Shrubs,bush dalea,Dalea pulchra,,TRUE,TRUE,TRUE,,,,,,,,,N,NC,,,False,,,,TRUE,,
Shrubs,California brickellbush,Brickellia californica,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,NC,,,False,,,,,,
Shrubs,chuparosa,Justicia californica,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,TRUE,False,,,,,,
Shrubs,Cleveland sage,Salvia clevelandii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,C,,,False,,,,TRUE,,
Shrubs,Coulter’s brickelbush,Brickellia coulteri,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,N,NC,,,False,,,,,,
Shrubs,creosote,Larrea tridentata,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,N,C,,,False,TRUE,,,TRUE,,
Shrubs,desert ceanothus,Ceanothus greggii,,,TRUE,TRUE,TRUE,,,,,,,,BIOREG,NC,,,False,,,,TRUE,,
Shrubs,desert globemallow,Sphaeralcea ambigua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,,False,TRUE,,,TRUE,,
Shrubs,desert hackberry,Celtis pallida,,,TRUE,TRUE,TRUE,,,,,,,,N/A,N/A,,,False,,,TRUE,,,
Shrubs,desert honeysuckle,Anisacanthus thurberi,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,TRUE,False,TRUE,,,,TRUE,
Shrubs,desert lavender,Hyptis emoryi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,,False,,,,TRUE,,
Shrubs,desert rosemallow,Hibiscus coulteri,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,False,TRUE,,,,TRUE,
Shrubs,desert senna,Senna covesii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,False,TRUE,,,,,
Shrubs,Eastern Mojave buckwheat,Erigonium fasiculatum poliofolium,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,NC,,,False,TRUE,,,TRUE,,
Shrubs,feather dalea,Dalea formosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,C,,,False,,,,TRUE,,
Shrubs,flame honeysuckle,Anisacanthus quadrifidus,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,Year round blooms with rainfall or supplemental water,TRUE,False,,,,,,
Shrubs,"Leucophyllums including Texas sage, violet silverleaf, Chihuahuan sage, Langman’s sage",Leucophyllum sp.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,TRUE,False,,,,,,
Shrubs,odora,Porophyllum gracile,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,False,TRUE,,,,TRUE,
Shrubs,"Oreganillo, Wright’s bee brush",Aloysia wrightii,,,,,,,,TRUE,TRUE,TRUE,,,N,N/A,,,False,,,,,,
Shrubs,paleface hibiscus,Hibiscus denudatus,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,False,TRUE,,,,,
Shrubs,pelotazo,Abutilon incanum,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,False,TRUE,,,,,
Shrubs,pink fairy duster,Calliandra eriophylla,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,C,,TRUE,False,TRUE,,,TRUE,TRUE,
Shrubs,pink perezia/brownfoot,Acourtia wrightii,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,False,TRUE,,,,,
Shrubs,rush (desert) milkweed,Asclepias subulata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,N/A,C,,False,TRUE,,,TRUE,,
Shrubs,seep willow,Baccharis salicifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,Can be propagated easily with pole cuttings,,False,,,,,,
Shrubs,shrubby deervetch,Lotus rigidus,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,NC,,,False,,,,TRUE,,
Shrubs,spreading fleabane,Erigeron divergens,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,False,TRUE,,,,,
